Family,Genus,Subgenus,Species,Author,Date,Parentheses (1=author & date in parentheses),Citation,Pages,Common Name,,Home Range,Island? Y/N
Pteropodidae,Pteropus,,woodfordi,Thomas,1888,0,Ann. Mag. Nat. Hist.,"ser. 6, 1: 156",Dwarf Flying Fox,,,
Pteropodidae,Rousettus,Rousettus,aegyptiacus,E. Geoffroy,1810,1,Ann. Mus. Natn. Hist. Nat. Paris,0.691666667,Egyptian Rousette,,,
Pteropodidae,Rousettus,Rousettus,amplexicaudatus,E. Geoffroy,1810,1,Ann. Mus. Natn. Hist. Nat. Paris,0.691666667,Geoffroy's Rousette,,,
Pteropodidae,Rousettus,Rousettus,celebensis,K. Andersen,1907,0,Ann. Mag. Nat. Hist.,"ser. 7, 19: 503, 509",Sulawesi Rousette,,,
Pteropodidae,Rousettus,Rousettus,leschenaultii,Desmarest,1820,1,"Mammalogie, in Encyclop. M&eacute;thod.",0.118055556,Leschenault's Rousette,,,
Pteropodidae,Rousettus,Rousettus,linduensis,Maryanto and Yani,2003,0,Mamm. Study,28: 113,Linduan Rousette,,,
Pteropodidae,Rousettus,Rousettus,obliviosus,Kock,1978,0,Proc. 4th Int. Bat Res. Conf. Nairobi,p. 208,Comoro Rousette,,,
Pteropodidae,Rousettus,Rousettus,spinalatus,Bergmans and Hill,1980,0,Bull. Brit. Mus. Nat. Hist. Zool.,38: 95,Bare-backed Rousette,,,
Pteropodidae,Rousettus,Stenonycteris,madagascariensis,G. Grandidier,1928,0,"Bull. Acad. Malgache, N.S.",0.521527778,Malagasy Rousette,,,
Pteropodidae,Scotonycteris,,bergmansi,"Hassanin, Khouider, Gembu, Goodman, Kadjo, Nesi, Pourrut, Nakoun&eacute; & Bonillo",2015,0,C. R. Biol.,338(2015): 206,Bergmans' Fruit Bat,,,
Pteropodidae,Scotonycteris,,occidentalis,Hayman,1947,0,Ann. Mag. Nat. Hist.,"ser. 11, 13: 503",Hayman's Tear-drop Fruit Bat,,,
Pteropodidae,Scotonycteris,,zenkeri,Matschie,1894,0,Sitzb. Ges. Naturf. Fr. Berlin,p. 202,Zenker's Fruit Bat,,,
Pteropodidae,Sphaerias,,blanfordi,Thomas,1891,1,Ann. Mus. Civ. Stor. Nat. Genova,"ser. 2, 10: 884, 921, 922",Blanford's Fruit Bat,,,
Pteropodidae,Stenonycteris,Stenonycteris,lanosus,Thomas,1906,0,Ann. Mag. Nat. Hist.,"ser. 7, 18: 137",Long-haired Rousette,,,
Pteropodidae,Styloctenium,,mindorensis,Esselstyn,2007,0,J. Mammal.,88(4): 953,Mindoro Stripe-faced Fruit Bat,,,
Pteropodidae,Styloctenium,,wallacei,Gray,1866,1,Proc. Zool. Soc. Lond.,1866: 65,Stripe-faced Fruit Bat,,,
Pteropodidae,Syconycteris,,australis,Peters,1867,1,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 13 footnote,Southern Blossom Bat,,,
Pteropodidae,Syconycteris,,carolinae,Rozendaal,1984,0,Zool. Med. Leiden,58(13): 200,Halmaheran Blossom Bat,,,
Pteropodidae,Syconycteris,,hobbit,Ziegler,1982,0,Occas. Pap. Bernice P. Bishop Mus.,25(5): 5,Moss-forest Blossom Bat,,,
Pteropodidae,Thoopterus,,nigrescens,Gray,1870,1,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",p. 123,Swift Fruit Bat,,,
Pteropodidae,Thoopterus,,suhaniahae,"Maryanto, Yani, Prijono & Wiantoro",2012,0,Rec. West. Aust. Mus.,27: 76,Suhaniah&apos;s Fruit Bat,,,
